hostname,pl_name,pl_orbsmax,sy_pnum
"HD 37124","HD 37124 b",0.5336400000,3
"GJ 3293","GJ 3293 b",0.1433900000,4
"Kepler-132","Kepler-132 b",0.0670000000,4
"Kepler-529","Kepler-529 b",0.0309000000,3
"HD 215152","HD 215152 b",0.0576380000,4
"Kepler-60","Kepler-60 c",0.0842200000,3
"Kepler-301","Kepler-301 d",0.1120000000,3
"TOI-1136","TOI-1136 b",0.0510600000,6
"Kepler-306","Kepler-306 c",0.0670000000,4
"K2-187","K2-187 d",0.0720000000,4
"TOI-375","TOI-375 d",0.9840000000,3
"Kepler-197","Kepler-197 e",0.1640000000,4
"L 98-59","L 98-59 d",0.0494000000,5
"Kepler-169","Kepler-169 c",0.0620000000,5
"Kepler-79","Kepler-79 c",0.1870000000,4
"Kepler-411","Kepler-411 e",0.1860000000,4
"HD 48948","HD 48948 c",0.1951000000,3
"Kepler-603","Kepler-603 c",0.5343900000,3
"TOI-431","TOI-431 c",0.0520000000,3
"Kepler-332","Kepler-332 b",0.0700000000,3
"HD 191939","HD 191939 f",3.7100000000,6
"KOI-351","KOI-351 h",0.9706200000,8
"YZ Cet","YZ Cet d",0.0285100000,3
"Kepler-251","Kepler-251 b",0.0530000000,4
"Kepler-359","Kepler-359 d",0.3720000000,3
"Kepler-198","Kepler-198 b",0.1310000000,3
"Kepler-444","Kepler-444 d",0.0600000000,5
"LHS 1903","LHS 1903 b",0.0265600000,4
"HIP 14810","HIP 14810 c",0.5490000000,3
"Kepler-80","Kepler-80 b",0.0648000000,6
"HD 40307","HD 40307 f",0.2470000000,5
"HR 858","HR 858 b",0.0488800000,3
"Kepler-342","Kepler-342 e",0.0290900000,4
"HD 3167","HD 3167 b",0.0179600000,4
"Kepler-306","Kepler-306 b",0.0500000000,4
"TRAPPIST-1","TRAPPIST-1 b",0.0115400000,7
"TOI-1117","TOI-1117 c",0.0534000000,3
"Kepler-229","Kepler-229 d",0.2200000000,3
"Kepler-142","Kepler-142 c",0.0570000000,3
"Kepler-257","Kepler-257 d",0.1600000000,3
"K2-138","K2-138 c",0.0446100000,6
"Kepler-11","Kepler-11 b",0.0910000000,6
"Kepler-398","Kepler-398 d",0.0618000000,3
"TOI-663","TOI-663 c",0.0437000000,3
