hostname,pl_name,pl_orbsmax,sy_pnum
"Kepler-51","Kepler-51 d",0.5090000000,4
"Kepler-299","Kepler-299 d",0.1180000000,4
"Kepler-310","Kepler-310 b",0.1110000000,3
"HD 3167","HD 3167 c",0.1776000000,4
"Kepler-758","Kepler-758 c",0.0576800000,4
"Kepler-19","Kepler-19 b",0.0846000000,3
"HD 110067","HD 110067 c",0.1039000000,6
"Kepler-265","Kepler-265 e",0.3190000000,4
"Kepler-282","Kepler-282 b",0.0820000000,4
"GJ 180","GJ 180 d",0.3090000000,3
"Kepler-267","Kepler-267 c",0.0600000000,3
"Kepler-82","Kepler-82 c",0.2626000000,5
"K2-187","K2-187 b",0.0164000000,4
"61 Vir","61 Vir b",0.0502010000,3
"Kepler-198","Kepler-198 d",0.0234200000,3
"Kepler-132","Kepler-132 c",0.0680000000,4
"Kepler-26","Kepler-26 b",0.0855100000,4
"GJ 581","GJ 581 c",0.0718000000,3
"Kepler-324","KOI-1831 d",0.1992400000,4
"Kepler-279","Kepler-279 c",0.2236000000,4
"Kepler-487","Kepler-487 d",0.0344500000,3
"Kepler-251","Kepler-251 d",0.1820000000,4
"Kepler-127","Kepler-127 d",0.2800000000,3
"Kepler-228","Kepler-228 b",0.0380000000,3
"CoRoT-7","CoRoT-7 b",0.0170160000,3
"Kepler-290","Kepler-290 d",0.0154000000,3
"HD 34445","HD 34445 e",0.2687000000,6
"Kepler-191","Kepler-191 b",0.0870000000,3
"HR 8799","HR 8799 c",38.0000000000,4
"Kepler-139","Kepler-139 e",3.2357963900,5
"Kepler-56","Kepler-56 d",2.1600000000,3
"HR 858","HR 858 c",0.0687000000,3
"HD 22946","HD 22946 d",0.2958000000,3
"TOI-125","TOI-125 d",0.1370000000,3
"Kepler-142","Kepler-142 d",0.2420000000,3
"Kepler-319","Kepler-319 d",0.1910000000,3
"HD 31527","HD 31527 c",0.2663000000,3
"Kepler-171","Kepler-171 b",0.0500000000,3
"HD 34445","HD 34445 f",1.5430000000,6
"Kepler-399","Kepler-399 c",0.1550000000,3
"Kepler-1130","Kepler-1130 b",0.0596300000,3
"DMPP-2","DMPP-2 c",0.0478900000,3
"Kepler-342","Kepler-342 c",0.1850000000,4
"KOI-94","KOI-94 b",0.0511900000,4
"TOI-5624","TOI-5624 f",0.2366000000,5
"Kepler-374","Kepler-374 d",0.0560000000,3
"Kepler-244","Kepler-244 b",0.0500000000,3
"GJ 876","GJ 876 e",0.3343000000,4
"YZ Cet","YZ Cet c",0.0215600000,3
"Kepler-292","Kepler-292 d",0.0680000000,5
"V1298 Tau","V1298 Tau e",0.2689000000,4
"HIP 41378","HIP 41378 b",0.1303000000,6
"Barnard's star","Barnard b",0.0229000000,4
"HD 39091","pi Men c",0.0683900000,3
"Kepler-150","Kepler-150 c",0.0730000000,5
"Kepler-25","Kepler-25 c",0.1117000000,3
"Kepler-275","Kepler-275 b",0.0980000000,3
"Kepler-80","Kepler-80 f",0.0175000000,6
"KOI-351","KOI-351 c",0.0890000000,8
"Kepler-33","Kepler-33 e",0.2138000000,5
"Kepler-267","Kepler-267 d",0.1540000000,3
"TOI-201","TOI-201 c",4.3700000000,3
"GJ 9827","GJ 9827 b",0.0189000000,3
"GJ 367","GJ 367 b",0.0070900000,3
"Kepler-122","Kepler-122 d",0.1550000000,5
"Kepler-55","Kepler-55 e",0.0480000000,5
"Kepler-347","Kepler-347 c",0.1830000000,3
"Kepler-203","Kepler-203 d",0.1000000000,3
"K2-3","K2-3 c",0.1357000000,3
"Kepler-295","Kepler-295 b",0.0990000000,3
"Kepler-197","Kepler-197 c",0.0900000000,4
"Kepler-402","Kepler-402 d",0.0870000000,4
"KOI-351","KOI-351 b",0.0740000000,8
"HIP 57274","HIP 57274 d",1.0100000000,3
"Kepler-1321","Kepler-1321 b",0.0781000000,3
"TOI-178","TOI-178 e",0.0783000000,6
"HD 181433","HD 181433 c",1.8850000000,3
"K2-37","K2-37 c",0.0653400000,3
"Kepler-238","Kepler-238 b",0.0340000000,5
"Kepler-350","Kepler-350 c",0.1385000000,3
"HD 219134","HD 219134 c",0.0653000000,6
"K2-239","K2-239 d",0.0685000000,3
"HD 142","HD 142 b",1.0390000000,3
"HD 108236","HD 108236 e",0.1367000000,5
"TOI-375","TOI-375 b",0.0990000000,3
"Kepler-398","Kepler-398 c",0.0870000000,3
"TRAPPIST-1","TRAPPIST-1 d",0.0222700000,7
"Kepler-399","Kepler-399 d",0.2610000000,3
"EPIC 249893012","EPIC 249893012 d",0.2200000000,3
"Kepler-292","Kepler-292 f",0.1410000000,5
"Kepler-184","Kepler-184 c",0.1410000000,3
"Kepler-104","Kepler-104 b",0.0940000000,3
"HD 164922","HD 164922 e",0.2292000000,4
"DMPP-1","DMPP-1 d",0.0446700000,4
"HD 164922","HD 164922 d",0.1030000000,4
"TOI-1136","TOI-1136 c",0.0669000000,6
"GJ 1061","GJ 1061 d",0.0540000000,3
"HD 142","HD 142 c",9.8110000000,3
"Kepler-62","Kepler-62 d",0.1200000000,5
"Kepler-150","Kepler-150 b",0.0440000000,5
"Kepler-325","Kepler-325 c",0.1050000000,3
"Kepler-106","Kepler-106 d",0.1606300000,4
"K2-136","K2-136 d",0.1538000000,3
"55 Cnc","55 Cnc c",0.2470000000,7
"Kepler-60","Kepler-60 b",0.0725500000,3
"Kepler-48","Kepler-48 e",1.8982747480,5
"Kepler-26","Kepler-26 d",0.0390000000,4
"2MASS J19383260+4603591","2MASS J19383260+4603591 b",0.9200000000,3
"Kepler-363","Kepler-363 c",0.0790000000,3
"LHS 1678","LHS 1678 c",0.0327000000,3
"Kepler-450","Kepler-450 d",0.0827000000,3
"Kepler-203","Kepler-203 b",0.0430000000,3
"Kepler-139","Kepler-139 b",0.1270000000,5
"HD 108236","HD 108236 f",0.1758000000,5
"HD 73344","HD 73344 b",0.1310000000,3
"Kepler-30","Kepler-30 d",0.5000000000,3
"Kepler-1321","Kepler-1321 c",0.0267000000,3
"HD 73344","HD 73344 d",6.7000000000,3
"K2-80","K2-80 c",0.0596000000,3
"HD 28109","HD 28109 b",0.1357000000,3
"TOI-5624","TOI-5624 d",0.1067000000,5
"Kepler-154","Kepler-154 e",0.0476600000,5
"Kepler-37","Kepler-37 b",0.1019000000,4
"Kepler-166","Kepler-166 d",0.0244900000,3
"Kepler-1987","Kepler-1987 d",0.0571000000,4
"HD 125612","HD 125612 d",3.9820000000,3
"Kepler-245","Kepler-245 b",0.0710000000,4
"TOI-2141","TOI-2141 c",0.0585000000,3
"Kepler-24","Kepler-24 d",0.0510000000,4
"HD 224018","HD 224018 d",0.5300000000,3
"HD 125612","HD 125612 b",1.3490000000,3
"Kepler-100","Kepler-100 e",0.3123915860,4
"Kepler-219","Kepler-219 c",0.1650000000,3
"XO-2 S","XO-2 S c",0.4737000000,4
"Kepler-31","Kepler-31 d",0.4000000000,3
"L 98-59","L 98-59 b",0.0223000000,5
"Kepler-235","Kepler-235 b",0.0370000000,4
"Kepler-85","Kepler-85 c",0.1036300000,4
"GJ 667 C","GJ 667 C c",0.1250000000,5
"Kepler-223","Kepler-223 b",0.0752500000,4
"Kepler-549","Kepler-549 b",0.2323600000,3
"55 Cnc","55 Cnc b",0.1180000000,7
"HD 28471","HD 28471 b",0.0420000000,3
"K2-58","K2-58 d",0.1517000000,3
"Kepler-267","Kepler-267 b",0.0370000000,3
"TOI-1260","TOI-1260 b",0.0367000000,3
"Kepler-160","Kepler-160 b",0.0551100000,3
"Kepler-341","Kepler-341 d",0.1820000000,4
"GJ 676 A","GJ 676 A e",0.1810000000,4
"Kepler-48","Kepler-48 c",0.0863300000,5
"HD 110067","HD 110067 g",0.2621000000,6
"Kepler-292","Kepler-292 c",0.0450000000,5
"K2-266","K2-266 e",0.1249000000,4
"Kepler-1254","Kepler-1254 c",0.0422000000,3
"Kepler-244","Kepler-244 c",0.0870000000,3
"TOI-7510","TOI-7510 c",0.1595000000,3
"Kepler-354","Kepler-354 d",0.1460000000,3
"Kepler-381","Kepler-381 c",0.1170000000,3
"AU Mic","AU Mic c",0.1190000000,4
"Barnard's star","Barnard e",0.0381000000,4
"HD 181433","HD 181433 d",6.7400000000,3
"Kepler-306","Kepler-306 d",0.1200000000,4
"Kepler-52","Kepler-52 c",0.1037900000,3
"HD 10180","HD 10180 f",0.4929000000,6
"Kepler-272","Kepler-272 b",0.0380000000,3
"HD 48948","HD 48948 d",0.4894000000,3
"Kepler-968","Kepler-968 c",0.0520000000,3
"HD 93385","HD 93385 c",0.1120000000,3
"Teegarden's Star","Teegarden's Star b",0.0259000000,3
"GJ 667 C","GJ 667 C e",0.2130000000,5
"Kepler-164","Kepler-164 d",0.1870000000,4
"Kepler-431","Kepler-431 c",0.0847000000,3
"Kepler-247","Kepler-247 c",0.0840000000,3
"Kepler-32","Kepler-32 b",0.0500000000,5
"Kepler-296","Kepler-296 c",0.0521000000,5
"K2-155","K2-155 d",0.1937000000,3
"HD 224018","HD 224018 b",0.0952000000,3
"Kepler-255","Kepler-255 c",0.0920000000,3
"Kepler-357","Kepler-357 d",0.2460000000,3
"TOI-2267 B","TOI-2267 d",0.0145000000,3
"Kepler-265","Kepler-265 d",0.2360000000,4
"GJ 876","GJ 876 c",0.1295900000,4
"TOI-1266","TOI-1266 d",0.1513000000,3
"HD 136352","HD 136352 c",0.1721000000,3
"Kepler-79","Kepler-79 d",0.2870000000,4
"Kepler-54","Kepler-54 d",0.1260000000,3
"K2-136","K2-136 c",0.1185000000,3
"Kepler-196","Kepler-196 c",0.2400000000,3
"Kepler-444","Kepler-444 c",0.0488100000,5
"Kepler-107","Kepler-107 b",0.0454400000,4
"Kepler-347","Kepler-347 d",0.3802000000,3
"K2-157","K2-157 d",0.3090000000,3
"HD 164922","HD 164922 c",0.3410000000,4
"Kepler-1530","Kepler-1530 b",0.0355300000,3
"Kepler-354","Kepler-354 c",0.1150000000,3
"TOI-5789","TOI-5789 d",0.1756000000,4
"Kepler-23","Kepler-23 b",0.0721200000,3
"L 98-59","L 98-59 c",0.0309000000,5
"Kepler-603","Kepler-603 d",0.0711700000,3
"Kepler-178","Kepler-178 d",0.3970000000,3
"TOI-2141","TOI-2141 d",0.2906000000,3
"Kepler-138","Kepler-138 c",0.0913000000,4
"HD 63433","HD 63433 c",0.1460000000,3
"Kepler-49","Kepler-49 d",0.0310000000,4
"Kepler-107","Kepler-107 c",0.0606400000,4
"KOI-142","Kepler-88 d",2.4663298660,3
"Teegarden's Star","Teegarden's Star c",0.0455000000,3
"Kepler-9","Kepler-9 c",0.2270000000,3
"Kepler-55","Kepler-55 d",0.0290000000,5
"HD 27894","HD 27894 b",0.1250000000,3
"Kepler-253","Kepler-253 c",0.0890000000,3
"V1298 Tau","V1298 Tau c",0.0824000000,4
"HD 110067","HD 110067 b",0.0793000000,6
"Kepler-281","Kepler-281 c",0.2150000000,3
"Kepler-171","Kepler-171 c",0.0980000000,3
"Kepler-244","Kepler-244 d",0.1400000000,3
"Kepler-166","Kepler-166 b",0.0720000000,3
"TOI-2076","TOI-2076 e",0.0386300000,4
"HD 63433","HD 63433 d",0.0503000000,3
"Kepler-172","Kepler-172 d",0.1180000000,4
"Kepler-160","Kepler-160 d",0.1700000000,3
"Kepler-221","Kepler-221 d",0.0870000000,4
"Kepler-296","Kepler-296 f",0.2550000000,5
"TOI-5789","TOI-5789 b",0.0360800000,4
"Kepler-172","Kepler-172 c",0.0680000000,4
"K2-266","K2-266 d",0.1035000000,4
"Kepler-1321","Kepler-1321 d",0.0501000000,3
"Kepler-220","Kepler-220 b",0.0460000000,4
"GJ 3138","GJ 3138 d",0.6980000000,3
"Kepler-444","Kepler-444 b",0.0417800000,5
"HD 20781","HD 20781 e",0.3374000000,5
"Kepler-104","Kepler-104 c",0.1530000000,3
"Kepler-33","Kepler-33 d",0.1662000000,5
"Kepler-257","Kepler-257 b",0.0340000000,3
"tau Cet","tau Cet g",0.1330000000,3
"TOI-201","TOI-201 b",0.3030000000,3
"Kepler-207","Kepler-207 d",0.0680000000,3
"GJ 887","GJ 887 e",0.0417000000,4
"Kepler-68","Kepler-68 d",1.4690000000,4
"Kepler-359","Kepler-359 c",0.3070000000,3
"Kepler-324","Kepler-324 e",0.1097200000,4
"Kepler-279","Kepler-279 b",0.1120000000,4
"Kepler-238","Kepler-238 c",0.0690000000,5
"Kepler-55","Kepler-55 c",0.2095000000,5
"GJ 676 A","GJ 676 A d",0.0390000000,4
"Kepler-218","Kepler-218 b",0.0460000000,3
"Kepler-359","Kepler-359 b",0.1780000000,3
"TOI-431","TOI-431 b",0.0113000000,3
"Kepler-65","Kepler-65 b",0.0350000000,4
"Kepler-281","Kepler-281 d",0.5456000000,3
"Kepler-444","Kepler-444 f",0.0811000000,5
"Kepler-222","Kepler-222 c",0.0910000000,3
"GJ 887","GJ 887 c",0.1210000000,4
"WASP-132","WASP-132 c",0.0183300000,3
"V1298 Tau","V1298 Tau d",0.1081000000,4
"Kepler-160","Kepler-160 c",0.1192000000,3
"Kepler-192","Kepler-192 b",0.0900000000,3
"Kepler-296","Kepler-296 e",0.1690000000,5
"Kepler-325","Kepler-325 b",0.0530000000,3
"Kepler-154","Kepler-154 c",0.3030000000,5
"Kepler-352","Kepler-352 d",0.0657400000,3
"TOI-2076","TOI-2076 c",0.1407000000,4
"Kepler-176","Kepler-176 c",0.1020000000,4
"KOI-94","KOI-94 d",0.1684000000,4
"HD 23472","HD 23472 b",0.1162000000,5
"Kepler-51","Kepler-51 c",0.3840000000,4
"Kepler-331","Kepler-331 d",0.1590000000,3
"Kepler-299","Kepler-299 c",0.0700000000,4
"Kepler-247","Kepler-247 b",0.0420000000,3
"Kepler-763","Kepler-763 c",0.0466000000,3
"Kepler-206","Kepler-206 d",0.1630000000,3
"HD 133131 A","HD 133131 A b",1.4400000000,3
"Kepler-206","Kepler-206 c",0.1110000000,3
"K2-239","K2-239 c",0.0576000000,3
"HD 215152","HD 215152 e",0.1541700000,4
"HD 219134","HD 219134 d",0.2370000000,6
"Kepler-221","Kepler-221 e",0.1300000000,4
"Kepler-411","Kepler-411 b",0.0375000000,4
"47 UMa","47 UMa c",3.6000000000,3
"Teegarden's Star","Teegarden's Star d",0.0791000000,3
"Kepler-254","Kepler-254 d",0.1390000000,3
"K2-19","K2-19 b",0.0748700000,3
"Kepler-1530","Kepler-1530 d",0.0827600000,3
"TRAPPIST-1","TRAPPIST-1 c",0.0158000000,7
"TOI-1246","TOI-1246 e",0.2120000000,4
"K2-157","K2-157 b",0.0096200000,3
"Kepler-20","Kepler-20 f",0.1387000000,6
"Kepler-289","Kepler-289 d",0.3300000000,4
"Kepler-450","Kepler-450 b",0.2009200000,3
"Kepler-157","Kepler-157 c",0.1100000000,3
"Kepler-616","Kepler-616 b",0.0927000000,3
"HD 141399","HD 141399 e",5.0000000000,4
"HD 7924","HD 7924 c",0.1134000000,3
"Kepler-338","Kepler-338 e",0.0897900000,4
"tau Cet","tau Cet h",0.2430000000,3
"HD 3167","HD 3167 d",0.0763000000,4
"TOI-1203","TOI-1203 b",0.0486900000,4
"TOI-451","TOI-451 d",0.1168000000,3
"Kepler-166","Kepler-166 c",0.1950000000,3
"Kepler-56","Kepler-56 b",0.1028000000,3
"Kepler-354","Kepler-354 b",0.0540000000,3
"HD 176986","HD 176986 c",0.1187300000,3
"Kepler-401","Kepler-401 d",0.6688600000,3
"TRAPPIST-1","TRAPPIST-1 f",0.0384900000,7
"GJ 667 C","GJ 667 C b",0.0504310000,5
"Kepler-37","Kepler-37 c",0.1390000000,4
"K2-148","K2-148 d",0.0774000000,3
"WASP-132","WASP-132 d",2.7100000000,3
"Kepler-150","Kepler-150 f",1.2400000000,5
"Kepler-304","Kepler-304 c",0.0540000000,4
"Kepler-279","Kepler-279 d",0.2901000000,4
"Kepler-49","Kepler-49 e",0.1160000000,4
"Kepler-326","Kepler-326 c",0.0510000000,3
"TOI-375","TOI-375 c",0.5240000000,3
"HD 69830","HD 69830 c",0.1860000000,3
"TOI-1749","TOI-1749 d",0.0707000000,3
"Kepler-1388","Kepler-1388 c",0.0519000000,4
"Kepler-416","Kepler-416 b",0.0674000000,3
"Kepler-228","Kepler-228 c",0.0520000000,3
"K2-32","K2-32 b",0.0795000000,4
"Kepler-290","Kepler-290 b",0.1100000000,3
"Kepler-68","Kepler-68 e",4.6000000000,4
"Kepler-758","Kepler-758 e",0.0829000000,4
"Kepler-174","Kepler-174 d",0.6770000000,3
"Kepler-282","Kepler-282 d",0.1583700000,4
"Kepler-758","Kepler-758 d",0.1527000000,4
"TOI-2076","TOI-2076 b",0.0878100000,4
"K2-3","K2-3 d",0.2014000000,3
"Kepler-172","Kepler-172 e",0.2110000000,4
"Kepler-275","Kepler-275 d",0.2240000000,3
"Kepler-305","Kepler-305 e",0.0401700000,4
"Kepler-32","Kepler-32 d",0.1300000000,5
"HD 153557","HD 153557 b",0.0680000000,3
"Kepler-245","Kepler-245 e",0.0405300000,4
"HD 219134","HD 219134 f",0.1463000000,6
"Kepler-487","Kepler-487 c",0.2186400000,3
"Kepler-157","Kepler-157 b",0.0280000000,3
"HD 20794","HD 20794 e",0.5090000000,4
"K2-133","K2-133 d",0.0748700000,4
"K2-138","K2-138 b",0.0338500000,6
"HD 191939","HD 191939 e",0.4070000000,6
"Kepler-298","Kepler-298 c",0.1360000000,3
"GJ 433","GJ 433 c",4.8190000000,3
"KOI-351","KOI-351 g",0.7170400000,8
"Kepler-10","Kepler-10 c",0.2410000000,3
"Kepler-102","Kepler-102 d",0.0861800000,5
"WASP-47","WASP-47 d",0.0850000000,4
"K2-133","K2-133 c",0.0434100000,4
"Barnard's star","Barnard d",0.0188000000,4
"GJ 180","GJ 180 b",0.0920000000,3
"HD 20794","HD 20794 d",0.3625000000,4
"HD 160691","HD 160691 e",0.9600000000,4
"rho CrB","rho CrB b",0.2245000000,3
"GJ 581","GJ 581 b",0.0399000000,3
"Kepler-84","Kepler-84 c",0.1072000000,5
"Kepler-326","Kepler-326 b",0.0320000000,3
"HD 153557","HD 153557 d",21.4490000000,3
"GJ 3998","GJ 3998 d",0.1890000000,3
"HD 39194","HD 39194 c",0.1083000000,3
"HD 219134","HD 219134 h",3.1100000000,6
"Kepler-164","Kepler-164 b",0.0580000000,4
"Kepler-1388","Kepler-1388 d",0.1260000000,4
"Kepler-1130","Kepler-1130 c",0.0423800000,3
"Kepler-114","Kepler-114 b",0.0530000000,3
"HD 20782","HD 20782 b",1.3649000000,5
"Kepler-254","Kepler-254 b",0.0640000000,3
"Kepler-331","Kepler-331 b",0.0650000000,3
"Kepler-25","Kepler-25 d",0.4164221832,3
"Kepler-142","Kepler-142 b",0.0320000000,3
"TOI-663","TOI-663 d",0.0576000000,3
"Kepler-1468","Kepler-1468 d",0.1456000000,3
"TOI-2267 A","TOI-2267 c",0.0263000000,3
"Kepler-275","Kepler-275 c",0.1320000000,3
"K2-183","K2-183 c",0.0932000000,3
"Kepler-338","Kepler-338 d",0.2570000000,4
"Kepler-124","Kepler-124 b",0.0390000000,3
"Kepler-286","Kepler-286 e",0.1760000000,4
"Kepler-1530","Kepler-1530 c",0.0574400000,3
"TOI-1117","TOI-1117 b",0.0330000000,3
"Kepler-106","Kepler-106 b",0.0649100000,4
"Kepler-1388","Kepler-1388 e",0.1861000000,4
"Kepler-1311","Kepler-1311 b",0.1008200000,3
"K2-58","K2-58 c",0.0350000000,3
"Kepler-126","Kepler-126 d",0.4480000000,3
"HD 40307","HD 40307 b",0.0468000000,5
"Kepler-445","Kepler-445 c",0.0301000000,3
"Kepler-9","Kepler-9 d",0.0273000000,3
"TOI-7510","TOI-7510 d",0.2672000000,3
"PSR B1257+12","PSR B1257+12 c",0.3600000000,3
"HD 136352","HD 136352 b",0.0964000000,3
"47 UMa","47 UMa d",11.6000000000,3
"TOI-5624","TOI-5624 b",0.0420100000,5
"HD 204313","HD 204313 b",3.1850000000,3
"Kepler-18","Kepler-18 b",0.0447000000,3
"Kepler-84","Kepler-84 d",0.0520000000,5
"TOI-561","TOI-561 c",0.0889000000,4
"Kepler-1987","Kepler-1987 e",0.0765000000,4
"K2-155","K2-155 b",0.0562000000,3
"TOI-700","TOI-700 d",0.1633000000,4
"Kepler-42","Kepler-42 c",0.0060000000,3
"HD 96700","HD 96700 c",0.1410000000,3
"Kepler-281","Kepler-281 b",0.1170000000,3
"TOI-451","TOI-451 c",0.0795000000,3
"55 Cnc","55 Cnc e",0.0154400000,7
"Kepler-129","Kepler-129 d",4.0000000000,3
"Kepler-286","Kepler-286 c",0.0420000000,4
"PSR B1257+12","PSR B1257+12 d",0.4600000000,3
"Kepler-297","Kepler-297 b",0.2170000000,3
"Kepler-53","Kepler-53 b",0.1361000000,3
"GJ 876","GJ 876 d",0.0208066500,4
"Kepler-226","Kepler-226 b",0.0470000000,3
"Kepler-11","Kepler-11 d",0.1550000000,6
"Kepler-218","Kepler-218 d",0.4988400000,3
"Kepler-487","Kepler-487 b",0.1181900000,3
"Kepler-100","Kepler-100 d",0.2174700000,4
"Kepler-770","Kepler-770 c",0.0309000000,3
"Wolf 1061","Wolf 1061 c",0.0890000000,3
"K2-233","K2-233 c",0.0664000000,3
"Kepler-351","Kepler-351 d",0.5177000000,3
"Kepler-1542","Kepler-1542 e",0.0564900000,4
"Kepler-311","Kepler-311 d",0.7326000000,3
"Kepler-1073","Kepler-1073 d",0.0352000000,3
"Kepler-55","Kepler-55 f",0.0810000000,5
"K2-133","K2-133 e",0.1346000000,4
"Kepler-220","Kepler-220 d",0.1630000000,4
"HD 191939","HD 191939 b",0.0804000000,6
"Kepler-54","Kepler-54 b",0.0619000000,3
"GJ 3293","GJ 3293 e",0.0820800000,4
"Kepler-65","Kepler-65 e",0.8539307544,4
"Kepler-32","Kepler-32 c",0.0900000000,5
"GJ 433","GJ 433 d",0.1780000000,3
"GJ 163","GJ 163 d",1.0304000000,3
"K2-138","K2-138 e",0.0782000000,6
"K2-72","K2-72 c",0.0780000000,4
"HD 134606","HD 134606 f",0.1784000000,5
"Kepler-62","Kepler-62 e",0.4270000000,5
"Kepler-192","Kepler-192 c",0.1500000000,3
"Kepler-319","Kepler-319 b",0.0510000000,3
"Kepler-23","Kepler-23 c",0.0950100000,3
"Kepler-399","Kepler-399 b",0.1030000000,3
"KOI-351","Kepler-90 i",0.1201380843,8
"Kepler-130","Kepler-130 c",0.1780000000,3
"HD 23472","HD 23472 f",0.0906000000,5
"Kepler-250","Kepler-250 b",0.0480000000,3
"K2-138","K2-138 g",0.2310900000,6
"TOI-1749","TOI-1749 b",0.0291000000,3
"Kepler-20","Kepler-20 b",0.0456500000,6
"Kepler-53","Kepler-53 d",0.0910000000,3
"Kepler-58","Kepler-58 e",0.0533000000,4
"GJ 581","GJ 581 e",0.0279900000,3
"Kepler-445","Kepler-445 d",0.0439000000,3
"HD 134606","HD 134606 e",0.0527000000,5
"HD 28471","HD 28471 d",0.1000000000,3
"Kepler-206","Kepler-206 b",0.0780000000,3
"HD 153557","HD 153557 c",0.1110000000,3
"Kepler-324","Kepler-324 c",0.2600000000,4
"HD 134606","HD 134606 c",0.3007000000,5
"Kepler-770","Kepler-770 d",0.0616000000,3
"Kepler-46","Kepler-46 c",0.2799000000,3
"HD 10180","HD 10180 e",0.2699000000,6
"Kepler-276","Kepler-276 c",0.1861900000,3
"HD 181433","HD 181433 b",0.0828000000,3
"WASP-47","WASP-47 b",0.0520000000,4
"ups And","ups And d",2.5132900000,3
"Kepler-249","Kepler-249 c",0.0580000000,3
"Kepler-297","Kepler-297 d",0.5230000000,3
"Kepler-305","Kepler-305 c",0.0756800000,4
"Kepler-48","Kepler-48 d",0.2330200000,5
"Kepler-18","Kepler-18 d",0.1172000000,3
"Kepler-106","Kepler-106 c",0.1098700000,4
"Kepler-176","Kepler-176 d",0.1630000000,4
"HD 37124","HD 37124 c",1.7100000000,3
"Kepler-122","Kepler-122 b",0.0640000000,5
"Kepler-32","Kepler-32 e",0.0330000000,5
"Kepler-52","Kepler-52 b",0.0637000000,3
"Kepler-311","Kepler-311 b",0.0870000000,3
"Kepler-402","Kepler-402 e",0.1020000000,4
"Kepler-238","Kepler-238 e",0.1728600000,5
"Kepler-352","Kepler-352 c",0.1180000000,3
"Kepler-127","Kepler-127 b",0.1250000000,3
"ups And","ups And c",0.8277740000,3
"TOI-2267 A","TOI-2267 b",0.0205000000,3
"Kepler-85","Kepler-85 b",0.0788500000,4
"TOI-178","TOI-178 g",0.1275000000,6
"Kepler-403","Kepler-403 d",0.1217800000,3
"Kepler-82","Kepler-82 d",0.0340000000,5
"HD 10180","HD 10180 g",1.4270000000,6
"Kepler-192","Kepler-192 d",0.0686000000,3
"Kepler-52","Kepler-52 d",0.1820000000,3
"TOI-469","HIP 29442 d",0.0673000000,3
"TOI-4010","TOI-4010 d",0.1130000000,4
"Kepler-196","Kepler-196 b",0.1380000000,3
"Kepler-251","Kepler-251 c",0.1220000000,4
"Kepler-255","Kepler-255 b",0.0630000000,3
"HD 219134","HD 219134 b",0.0387600000,6
"TOI-1136","TOI-1136 f",0.1740000000,6
"Kepler-10","Kepler-10 d",0.5379000000,3
"GJ 9827","GJ 9827 d",0.0530000000,3
"Kepler-341","Kepler-341 e",0.2420000000,4
"55 Cnc","55 Cnc d",5.6000000000,7
"Kepler-249","Kepler-249 b",0.0350000000,3
"HD 191939","HD 191939 g",0.8120000000,6
"Kepler-132","Kepler-132 e",0.4392700000,4
"rho CrB","rho CrB e",0.1061000000,3
"HD 20794","HD 20794 b",0.1257000000,4
"Kepler-62","Kepler-62 f",0.7180000000,5
"ups And","ups And b",0.0592216600,3
"Kepler-42","Kepler-42 d",0.0154000000,3
"TOI-1246","TOI-1246 b",0.0490000000,4
"Kepler-167","Kepler-167 e",1.8830000000,4
"Kepler-339","Kepler-339 d",0.0910000000,3
"Kepler-245","Kepler-245 c",0.1240000000,4
"TOI-1266","TOI-1266 c",0.1050000000,3
"KOI-351","KOI-351 d",0.3200000000,8
"Kepler-178","Kepler-178 c",0.1420000000,3
"HD 219134","HD 219134 g",0.3753000000,6
"Kepler-398","Kepler-398 b",0.0440000000,3
"Kepler-31","Kepler-31 b",0.1600000000,3
"Kepler-30","Kepler-30 c",0.3000000000,3
"Kepler-62","Kepler-62 c",0.0929000000,5
"HD 125612","HD 125612 c",0.0510000000,3
"Wolf 1061","Wolf 1061 d",0.4700000000,3
"Kepler-431","Kepler-431 d",0.1045000000,3
"Kepler-11","Kepler-11 e",0.1950000000,6
"K2-239","K2-239 b",0.0441000000,3
"TOI-1246","TOI-1246 d",0.1320000000,4
"HD 39194","HD 39194 d",0.1949000000,3
"Kepler-256","Kepler-256 e",0.0960000000,4
"HD 20781","HD 20781 c",0.1004000000,5
"HD 184010","HD 184010 b",0.9400000000,3
"WASP-132","WASP-132 b",0.0674000000,3
"HD 23472","HD 23472 d",0.0429800000,5
"Kepler-411","Kepler-411 d",0.2790000000,4
"Kepler-169","Kepler-169 b",0.0400000000,5
"Kepler-30","Kepler-30 b",0.1800000000,3
"Kepler-245","Kepler-245 d",0.2020000000,4
"Kepler-81","Kepler-81 c",0.0834700000,3
"Kepler-763","Kepler-763 b",0.0205000000,3
"HD 34445","HD 34445 b",2.0700000000,6
"K2-37","K2-37 d",0.1102000000,3
"Kepler-256","Kepler-256 b",0.0270000000,4
"Kepler-167","Kepler-167 c",0.0684000000,4
"Kepler-219","Kepler-219 d",0.2720000000,3
"LHS 1678","LHS 1678 d",0.0400000000,3
"Kepler-289","Kepler-289 c",0.5015500000,4
"Kepler-169","Kepler-169 e",0.1050000000,5
"Kepler-54","Kepler-54 c",0.0809000000,3
"Kepler-138","Kepler-138 b",0.0753000000,4
"K2-285","K2-285 d",0.1178000000,4
"Kepler-431","Kepler-431 b",0.0719000000,3
